alsa-firmware 1.2.4-3
alsa-utils 1.2.10-1
amd-ucode 20231211.f2e52a1c-1
arch-install-scripts 28-1
base 3-2
base-devel 1-1
bat 0.24.0-1
blueman 2.3.5-2
bluez 5.70-2
bluez-qt5 5.112.0-1
bluez-utils-compat 5.70-1
brave-bin 1:1.61.101-1
btop 1.2.13-1
cliphist 1:0.4.0-2
corectrl 1.3.8-1
discord 0.0.38-1
dunst 1.9.2-1
eclipse-jee 2:4.30-1
efibootmgr 18-2
fastfetch 2.3.4-1
fd 8.7.1-1
figlet 2.2.5-5
firefox 120.0.1-1
flatpak 1:1.15.6-1
fontforge 20230101-3
gamemode 1.7-1
gamescope-git 3.13.11.r0.gce08920-1
git 2.43.0-1
github-cli 2.40.0-1
gnome-disk-utility 45.1-1
gparted 1.5.0-1
grim 1.4.1-1
grub 2:2.12rc1-7
gtk4 1:4.12.4-1
gtkmm-4.0 4.12.0-1
hdparm 9.65-1
hyprland-git 0.32.3.r87.b80c72c7-1
hyprpicker 0.2.0-2
inetutils 2.4-2
jdk-openjdk 21.u35-8
jdk8-openjdk 8.392.u08-1
jetbrains-toolbox 2.1.1.18388-1
kitty 0.31.0-1
lib32-gamemode 1.7-1
lib32-mangohud 0.7.0-2
lib32-mesa-git 24.0.0_devel.181229.fc30a29bd61.d41d8cd-1
linux 6.6.6.arch1-1
linux-firmware 20231211.f2e52a1c-1
linux-headers 6.6.6.arch1-1
make 4.4.1-2
man-db 2.12.0-1
mangohud 0.7.0-2
mesa-git 24.0.0_devel.181229.fc30a29bd61.d41d8cd-1
neovim 0.9.4-2
nerd-fonts-git 1:3.1.0.r16.g3f2de8da0-1
networkmanager 1.44.2-3
noto-fonts-emoji 1:2.042-1
npm 10.2.5-1
ntfs-3g 2022.10.3-1
nwg-look 0.2.5-1
obs-studio 30.0.0-1
orchis-theme-git 2023.10.20.r13.gf309eb18-1
pamixer 1.6-2
papirus-icon-theme 20231201-2
paru 2.0.1-1
pavucontrol 1:5.0+r64+geba9ca6-1
php 8.2.13-1
pipewire 1:1.0.0-2
pipewire-alsa 1:1.0.0-2
pipewire-jack 1:1.0.0-2
pipewire-pulse 1:1.0.0-2
pkgfile 21-2
polkit-kde-agent 5.27.10-1
polkit-qt6 0.175.0-1
prismlauncher 8.0-1
proton-ge-custom-bin 1:GE_Proton8_25-1
pv 1.8.5-1
python-pip 23.3.1-1
python-pywal 3.3.0-8
qt5-wayland 5.15.11+kde+r60-1
reflector 2023-1
ripgrep 14.0.3-1
rofi-lbonn-wayland-git 1.7.5.wayland2.r151.g5cd1e3ca-1
rustup 1.26.0-5
samrewritten-git r258.39d524a-1
slurp 1.4.0-1
sof-firmware 2023.09.2-1
spotify 1:1.2.26.1187-1
steam 1.0.0.78-2
swayidle 1.8.0-1
swww 0.8.1-0
thunar 4.18.8-1
tldr 3.2.0-1
tree 2.1.1-1
tree-sitter-cli 0.20.8-4
unzip 6.0-20
uutils-coreutils 0.0.23-1
v4l2loopback-utils 0.12.7-2
vim 9.0.2143-1
waybar-git r3042.1fe4a4ee-1
wev 1.0.0-13
wget 1.21.4-1
winetricks-git 20230212.r52.g07c6d389-1
wireplumber 0.4.17-1
wlroots-git 0.18.0.r6735.d7ecdad4-1
wofi 1.3-2
xampp 8.2.4-2
xdg-desktop-portal-hyprland 1.2.5-1
xdg-user-dirs 0.18-1
xorg-xev 1.2.5-1
xwaylandvideobridge-bin j1413589-1
zip 3.0-11
zsh 5.9-4
zsh-theme-powerlevel10k-git r4217.d70eedb3-1
